Team,ID,G,First,Last,Full,Bag ID,Baggage Name,Bag Vec,Ath,Exp,Skill,Vec,Position,Dump,Back,Fore,Huck Back,Huck Fore,W/ mark,Anti Mark,Wind,Height,Weight,Age,Yr Started,Weeks Missed,Miss Tourney?,Email,Phone,Comments
,25,F,Stephie,Scharff,Stephie Scharff,140,,,0,3,1,4,handler,X,,,X,X,,,X,5'5",200lbs,49,2008,2,No,Stephie.Scharff257@gmail.com,555-233-9314,
,26,M,Reggi,Marinelli,Reggi Marinelli,161,,,2,0,3,5,I don't know,X,,,,,X,X,,6'6",124lbs,33,2001,2,Yes,Reggi.Marinelli434@gmail.com,555-893-6492,
,27,M,Jacklin,Michael,Jacklin Michael,107,,,1,0,3,4,handler,X,,X,,X,,,,6'3",179lbs,36,2011,3,Yes,Jacklin.Michael551@gmail.com,555-537-1547,
,28,F,Julieta,Emmit,Julieta Emmit,36,,,3,0,0,3,handler,X,X,X,,,,,X,6'0",209lbs,25,2009,0,No,Julieta.Emmit851@gmail.com,555-950-9706,
,29,F,Frances,Elora,Frances Elora,,,,2,0,4,6,I don't know,X,,X,,,X,,X,5'4",121lbs,51,2014,1,Yes,Frances.Elora899@gmail.com,555-601-9357,
,30,F,Kinna,Shela,Kinna Shela,160,,,3,0,0,3,handler,X,,X,X,,X,X,,5'8",154lbs,32,2004,0,No,Kinna.Shela191@gmail.com,555-689-7496,
,31,M,Scarlett,Chivers,Scarlett Chivers,,,,2,4,1,7,I don't know,,X,X,,,X,,X,6'7",218lbs,49,2005,3,Yes,Scarlett.Chivers60@gmail.com,555-243-2837,
,32,M,Fionnula,Lukasz,Fionnula Lukasz,81,,,3,0,3,6,handler,,X,X,,,,X,X,5'7",159lbs,44,2010,0,No,Fionnula.Lukasz623@gmail.com,555-697-5103,
,33,M,Adora,Lubbi,Adora Lubbi,175,,,2,3,0,5,handler,,,X,X,,X,,X,5'6",195lbs,26,2001,4,No,Adora.Lubbi823@gmail.com,555-593-5907,
,34,M,Prisca,Pollie,Prisca Pollie,131,,,4,1,4,9,I don't know,X,X,,X,X,X,,X,6'0",158lbs,50,2010,2,Yes,Prisca.Pollie640@gmail.com,555-972-675,
,35,M,Gerhardine,Jezabel,Gerhardine Jezabel,101,,,1,1,3,5,handler,X,X,,X,X,,X,,5'8",180lbs,49,2015,3,No,Gerhardine.Jezabel685@gmail.com,555-656-751,
,36,F,Eustacia,Thetos,Eustacia Thetos,28,,,4,1,3,8,I don't know,X,,X,,,X,,X,5'7",203lbs,18,2015,0,No,Eustacia.Thetos678@gmail.com,555-469-9533,
,37,M,Emilie,Tomasz,Emilie Tomasz,71,,,3,0,2,5,I don't know,X,X,X,,X,X,,,6'9",227lbs,33,2005,2,Yes,Emilie.Tomasz552@gmail.com,555-415-4781,
,38,F,Lily,Fink,Lily Fink,121,,,4,0,3,7,handler,X,,X,,,,,X,6'8",142lbs,32,2014,4,No,Lily.Fink140@gmail.com,555-304-6779,
,39,M,Sandie,Schwab,Sandie Schwab,174,,,0,4,0,4,I don't know,X,X,,,X,,,,6'1",149lbs,41,2007,0,No,Sandie.Schwab880@gmail.com,555-327-9145,
,40,M,Selma,Kenley,Selma Kenley,52,,,3,0,3,6,handler,X,,,X,,X,X,X,5'6",129lbs,20,2006,2,Yes,Selma.Kenley401@gmail.com,555-182-7279,
,41,M,Clerissa,Hollingsworth,Clerissa Hollingsworth,,,,4,2,2,8,I don't know,X,,X,X,X,X,,,6'0",226lbs,36,2004,2,No,Clerissa.Hollingsworth542@gmail.com,555-272-2648,
,42,F,Maible,Maurene,Maible Maurene,66,,,2,4,4,10,handler,,X,,,X,X,X,,6'9",184lbs,54,2013,2,Yes,Maible.Maurene766@gmail.com,555-241-6761,
,43,M,Gerianna,Garlanda,Gerianna Garlanda,,,,0,0,4,4,cutter,X,X,X,,,,,X,5'5",179lbs,21,2001,2,No,Gerianna.Garlanda503@gmail.com,555-328-8175,
,44,F,Milena,Orlene,Milena Orlene,142,,,1,1,2,4,I don't know,X,,,X,,X,X,X,5'8",216lbs,21,2001,0,No,Milena.Orlene678@gmail.com,555-282-373,
,45,F,Renie,Chew,Renie Chew,85,,,1,2,2,5,cutter,X,X,,X,X,X,,X,5'8",182lbs,21,2003,1,No,Renie.Chew450@gmail.com,555-642-9841,
,46,F,Ameline,Zinnes,Ameline Zinnes,14,,,0,1,1,2,cutter,X,X,,X,X,,,,6'3",205lbs,37,2011,3,No,Ameline.Zinnes182@gmail.com,555-319-6748,
,47,M,Anstice,Royd,Anstice Royd,163,,,2,4,2,8,cutter,,,X,X,X,X,,X,5'10",128lbs,30,2004,0,No,Anstice.Royd518@gmail.com,555-198-4646,
,48,M,Philly,Sheffie,Philly Sheffie,100,,,3,4,0,7,cutter,X,,,,X,,X,,6'4",110lbs,45,2004,2,Yes,Philly.Sheffie790@gmail.com,555-143-8426,
,49,F,Rosy,Kym,Rosy Kym,136,,,4,1,2,7,cutter,X,X,,,X,,,X,5'2",152lbs,20,2011,2,No,Rosy.Kym935@gmail.com,555-195-1350,
,50,F,Michaelina,Royall,Michaelina Royall,109,,,4,1,0,5,I don't know,,X,,X,X,,X,X,5'9",124lbs,30,2015,0,Yes,Michaelina.Royall369@gmail.com,555-696-8253,
,51,M,Jacinta,Adamsen,Jacinta Adamsen,,,,3,2,3,8,cutter,X,X,X,X,X,X,X,X,5'10",115lbs,49,2012,3,Yes,Jacinta.Adamsen192@gmail.com,555-160-8678,
,52,M,Caresa,Pero,Caresa Pero,40,,,1,4,0,5,I don't know,,,X,,X,,X,X,5'9",154lbs,46,2002,2,Yes,Caresa.Pero708@gmail.com,555-803-4188,
,53,M,Shanna,Madox,Shanna Madox,119,,,2,1,1,4,handler,,,X,X,,X,X,X,5'10",182lbs,18,2003,0,Yes,Shanna.Madox684@gmail.com,555-325-4599,
,54,F,Edita,Fermin,Edita Fermin,132,,,3,2,1,6,handler,,X,X,,,,X,,5'8",175lbs,35,2012,2,Yes,Edita.Fermin40@gmail.com,555-343-5477,
,55,M,Denny,Wiltz,Denny Wiltz,80,,,1,3,3,7,handler,X,,,X,,X,,X,6'4",225lbs,53,2009,0,Yes,Denny.Wiltz576@gmail.com,555-618-5096,
,56,M,Henrietta,Marius,Henrietta Marius,,,,3,1,4,8,cutter,,,X,X,X,X,,,5'3",155lbs,27,2010,0,Yes,Henrietta.Marius694@gmail.com,555-690-888,
,57,M,Mufinella,Marentic,Mufinella Marentic,77,,,2,4,0,6,handler,X,,,,,X,X,,6'7",138lbs,53,2013,0,Yes,Mufinella.Marentic64@gmail.com,555-259-2488,
,58,F,Sheba,Fenton,Sheba Fenton,94,,,3,4,1,8,I don't know,X,,X,X,X,X,X,X,6'10",221lbs,49,2013,0,No,Sheba.Fenton96@gmail.com,555-230-4110,
,59,M,Marilee,Lashar,Marilee Lashar,126,,,1,0,3,4,I don't know,X,X,,,X,X,,,6'9",128lbs,18,2013,1,Yes,Marilee.Lashar598@gmail.com,555-278-300,
,60,M,Shaylyn,Hernando,Shaylyn Hernando,149,,,2,2,4,8,handler,X,X,X,X,,X,X,X,5'4",202lbs,21,2004,4,No,Shaylyn.Hernando187@gmail.com,555-971-9432,
,61,F,Christalle,Gunner,Christalle Gunner,,,,1,1,4,6,handler,,X,,X,,X,,X,5'1",219lbs,33,2003,2,No,Christalle.Gunner877@gmail.com,555-105-4474,
,62,F,Ariana,Nataniel,Ariana Nataniel,86,,,1,2,3,6,I don't know,,X,,X,,,,,5'2",153lbs,37,2007,1,No,Ariana.Nataniel120@gmail.com,555-291-8944,
,63,F,Lavinie,Elliot,Lavinie Elliot,135,,,3,0,2,5,cutter,,X,X,X,X,X,X,,5'9",220lbs,36,2008,4,Yes,Lavinie.Elliot880@gmail.com,555-749-4397,
,64,F,Merla,Meeks,Merla Meeks,,,,0,3,0,3,cutter,,,,X,X,,X,,5'10",211lbs,18,2011,3,No,Merla.Meeks762@gmail.com,555-364-4460,
,65,F,Bebe,Hills,Bebe Hills,170,,,4,0,3,7,handler,,,X,X,,,,,5'7",209lbs,22,2011,2,Yes,Bebe.Hills118@gmail.com,555-241-234,
,66,F,Amalea,Pris,Amalea Pris,42,,,3,3,1,7,I don't know,X,X,,,,X,,X,6'3",202lbs,25,2006,0,No,Amalea.Pris79@gmail.com,555-745-8961,
,67,M,Shanta,Corvin,Shanta Corvin,,,,2,3,4,9,I don't know,,,X,,X,,,,5'3",159lbs,43,2012,0,No,Shanta.Corvin14@gmail.com,555-110-9101,
,68,F,Emmalyn,Adaurd,Emmalyn Adaurd,,,,4,4,3,11,I don't know,,X,,X,,,X,,6'5",169lbs,31,2010,4,No,Emmalyn.Adaurd284@gmail.com,555-561-1854,
,69,F,Eirena,Austin,Eirena Austin,72,,,3,1,1,5,handler,,,,,,,,,5'9",213lbs,50,2011,0,Yes,Eirena.Austin182@gmail.com,555-629-3727,
,70,F,Pavia,Alexio,Pavia Alexio,,,,4,4,3,11,cutter,,,,X,X,,,X,5'4",140lbs,36,2003,3,Yes,Pavia.Alexio273@gmail.com,555-955-3681,
,71,F,Lynnet,Camfort,Lynnet Camfort,37,,,3,4,2,9,handler,,X,,X,X,,,X,5'5",151lbs,45,2003,2,Yes,Lynnet.Camfort732@gmail.com,555-691-4158,
,72,M,Jourdan,Dukie,Jourdan Dukie,69,,,0,4,3,7,cutter,,,,,,X,,,6'1",136lbs,22,2006,3,No,Jourdan.Dukie331@gmail.com,555-306-6890,
,73,M,Myra,Derrick,Myra Derrick,1,,,0,3,3,6,I don't know,,,,,X,X,,X,5'6",114lbs,21,2007,4,No,Myra.Derrick417@gmail.com,555-211-8389,
,74,M,Jocelyne,Malkin,Jocelyne Malkin,164,,,2,2,3,7,cutter,X,,X,,X,X,X,,5'2",176lbs,35,2011,3,Yes,Jocelyne.Malkin91@gmail.com,555-602-6513,
,75,M,Viki,Sage,Viki Sage,156,,,2,1,0,3,cutter,X,X,,X,X,,X,X,6'8",131lbs,23,2015,2,Yes,Viki.Sage306@gmail.com,555-987-369,
,76,M,Concettina,Adelheid,Concettina Adelheid,,,,2,2,1,5,cutter,X,,,X,,X,X,,6'8",127lbs,46,2012,3,No,Concettina.Adelheid532@gmail.com,555-281-2670,
,77,M,Anjanette,Gabriela,Anjanette Gabriela,57,,,4,0,0,4,handler,X,X,X,,X,X,X,,6'2",110lbs,21,2013,1,Yes,Anjanette.Gabriela244@gmail.com,555-956-3682,
,78,F,Aimee,Godewyn,Aimee Godewyn,79,,,0,1,3,4,handler,X,,,X,X,X,X,X,5'9",114lbs,38,2006,4,No,Aimee.Godewyn954@gmail.com,555-728-2163,
,79,F,Selie,Devine,Selie Devine,78,,,1,4,3,8,I don't know,,X,,X,,,X,X,6'2",122lbs,53,2013,0,Yes,Selie.Devine951@gmail.com,555-676-2803,
,80,M,Ernaline,Allina,Ernaline Allina,55,,,0,3,1,4,cutter,X,X,,X,X,,X,X,5'4",127lbs,37,2006,1,Yes,Ernaline.Allina78@gmail.com,555-653-9290,
,81,M,Lianne,Desmund,Lianne Desmund,32,,,2,2,3,7,cutter,,X,,,X,X,X,,6'4",113lbs,20,2001,1,Yes,Lianne.Desmund784@gmail.com,555-655-1907,
,82,M,Fleurette,Perr,Fleurette Perr,11,,,2,4,4,10,handler,,,X,,X,X,X,,5'3",138lbs,20,2005,3,Yes,Fleurette.Perr15@gmail.com,555-410-9327,
,83,F,Dynah,Reel,Dynah Reel,141,,,1,0,4,5,I don't know,X,X,,X,X,,,X,6'6",145lbs,46,2013,4,No,Dynah.Reel788@gmail.com,555-177-467,
,84,F,Olympe,Gustavus,Olympe Gustavus,,,,2,0,4,6,cutter,X,X,X,,X,X,,,6'5",157lbs,46,2013,1,Yes,Olympe.Gustavus855@gmail.com,555-427-8123,
,85,F,Elena,Felisha,Elena Felisha,45,,,0,1,3,4,I don't know,,X,,X,X,,X,X,6'6",183lbs,46,2010,3,No,Elena.Felisha553@gmail.com,555-562-9417,
,86,M,Margaret,Aynat,Margaret Aynat,62,,,0,4,0,4,handler,X,,,X,X,X,X,X,5'0",178lbs,46,2015,4,Yes,Margaret.Aynat574@gmail.com,555-215-1842,
,87,M,Dido,Jacey,Dido Jacey,150,,,0,4,4,8,handler,X,X,X,X,,X,X,X,6'2",170lbs,45,2014,0,Yes,Dido.Jacey675@gmail.com,555-214-4934,
,88,F,Mignon,Hummel,Mignon Hummel,89,,,4,1,3,8,cutter,,X,,X,X,,,X,6'8",161lbs,52,2007,1,No,Mignon.Hummel784@gmail.com,555-946-3528,
,89,M,Nonnah,Sands,Nonnah Sands,88,,,4,2,1,7,cutter,X,X,,X,,,,X,6'4",193lbs,18,2009,3,No,Nonnah.Sands551@gmail.com,555-282-5488,
,90,F,Kassia,Garibull,Kassia Garibull,,,,0,1,4,5,handler,X,,X,,X,,,X,5'8",135lbs,25,2003,2,Yes,Kassia.Garibull364@gmail.com,555-600-9603,
,91,M,Harrietta,Hendrickson,Harrietta Hendrickson,114,,,0,0,1,1,cutter,X,,,X,X,X,,X,5'1",125lbs,34,2012,1,Yes,Harrietta.Hendrickson619@gmail.com,555-511-5720,
,92,M,Janel,Sumer,Janel Sumer,,,,2,1,2,5,cutter,,X,,X,X,X,,X,6'5",110lbs,56,2013,0,Yes,Janel.Sumer734@gmail.com,555-536-1976,
,93,F,Cybill,Pricilla,Cybill Pricilla,111,,,1,3,0,4,I don't know,,X,,X,X,X,,,5'6",111lbs,30,2007,1,No,Cybill.Pricilla887@gmail.com,555-856-749,
,94,F,Brandea,Landau,Brandea Landau,58,,,0,4,2,6,handler,,X,,,,X,X,,6'0",223lbs,31,2012,2,No,Brandea.Landau161@gmail.com,555-854-4240,
,95,M,Jena,Krucik,Jena Krucik,,,,1,1,4,6,handler,X,,X,,X,,X,,6'4",229lbs,52,2001,2,No,Jena.Krucik548@gmail.com,555-959-1592,
,96,M,Dulcea,Fortier,Dulcea Fortier,151,,,1,4,2,7,I don't know,,,,X,X,X,X,X,5'2",153lbs,43,2002,1,Yes,Dulcea.Fortier952@gmail.com,555-240-1809,
,97,F,Cloe,Holly-Anne,Cloe Holly-Anne,,,,4,1,1,6,cutter,,,,,X,X,X,X,6'5",181lbs,35,2006,3,Yes,Cloe.Holly-Anne198@gmail.com,555-799-1200,
,98,F,Dorotea,Tilda,Dorotea Tilda,,,,2,0,2,4,I don't know,X,X,X,,,X,X,X,6'4",229lbs,29,2001,1,Yes,Dorotea.Tilda813@gmail.com,555-242-5632,
,99,F,Elsi,Vanna,Elsi Vanna,,,,4,0,0,4,cutter,,,,,X,,X,X,6'6",137lbs,55,2004,3,Yes,Elsi.Vanna716@gmail.com,555-865-2439,
,100,M,Beatrisa,Cran,Beatrisa Cran,48,,,1,4,3,8,cutter,,X,X,,X,X,X,,5'0",173lbs,29,2008,0,No,Beatrisa.Cran465@gmail.com,555-781-7234,
,101,M,Windy,Lesly,Windy Lesly,35,,,1,4,4,9,handler,X,,X,,X,,,,6'0",163lbs,42,2004,3,Yes,Windy.Lesly634@gmail.com,555-540-2486,
,102,M,Tammara,Edra,Tammara Edra,,,,4,4,1,9,handler,,,,,X,,,X,6'4",185lbs,39,2007,0,No,Tammara.Edra426@gmail.com,555-610-770,
,103,M,Chanda,Lynsey,Chanda Lynsey,,,,2,2,2,6,handler,X,X,X,X,X,,,,6'2",175lbs,19,2001,2,No,Chanda.Lynsey354@gmail.com,555-911-2508,
,104,F,Lucia,Etka,Lucia Etka,5,,,0,0,4,4,handler,X,,,,X,X,,,5'9",215lbs,42,2012,3,No,Lucia.Etka525@gmail.com,555-701-9372,
,105,M,Rowe,McCartan,Rowe McCartan,,,,2,0,1,3,I don't know,X,X,X,,X,,,,5'0",115lbs,37,2006,3,Yes,Rowe.McCartan990@gmail.com,555-432-1113,
,106,M,Jacynth,Tilly,Jacynth Tilly,23,,,3,0,3,6,cutter,,,,,,X,X,,5'9",163lbs,18,2002,0,No,Jacynth.Tilly596@gmail.com,555-646-5945,
,107,F,Colette,Abell,Colette Abell,27,,,0,3,3,6,I don't know,,X,X,X,X,,X,X,6'10",192lbs,52,2006,0,Yes,Colette.Abell628@gmail.com,555-471-2348,
,108,M,Malia,Dorri,Malia Dorri,113,,,2,3,3,8,cutter,X,X,,,X,,X,,6'4",181lbs,33,2015,4,Yes,Malia.Dorri788@gmail.com,555-316-2051,
,109,F,Frankie,Woody,Frankie Woody,50,,,4,4,0,8,I don't know,X,X,X,,X,X,X,X,6'8",217lbs,31,2015,2,No,Frankie.Woody783@gmail.com,555-723-2427,
,110,F,Ynes,Stucker,Ynes Stucker,172,,,1,0,2,3,cutter,X,,X,X,X,X,,X,6'1",178lbs,55,2006,3,Yes,Ynes.Stucker889@gmail.com,555-915-8545,
,111,M,Reyna,Randal,Reyna Randal,93,,,4,4,1,9,cutter,,,X,,X,,,,5'9",152lbs,55,2005,1,No,Reyna.Randal997@gmail.com,555-440-6086,
,112,M,Bobette,Hahnke,Bobette Hahnke,123,,,0,0,4,4,I don't know,X,,X,,X,X,X,X,5'4",160lbs,47,2004,0,No,Bobette.Hahnke155@gmail.com,555-281-9687,
,113,F,Golda,Lotus,Golda Lotus,108,,,1,3,2,6,I don't know,,X,,,X,,X,X,5'8",190lbs,45,2015,3,No,Golda.Lotus976@gmail.com,555-281-5062,
,114,F,Ashia,Noonberg,Ashia Noonberg,91,,,2,4,3,9,cutter,,,X,,,,X,,6'10",153lbs,45,2013,2,Yes,Ashia.Noonberg671@gmail.com,555-578-8234,
,115,F,Ursula,Koziara,Ursula Koziara,24,,,1,2,3,6,cutter,,X,X,X,,,,,5'4",173lbs,18,2001,3,No,Ursula.Koziara568@gmail.com,555-507-7070,
,116,F,Sonia,Arlee,Sonia Arlee,,,,4,4,3,11,I don't know,,,,,,X,,X,6'9",168lbs,43,2013,3,Yes,Sonia.Arlee86@gmail.com,555-718-2692,
,117,F,Paulina,Ri,Paulina Ri,,,,0,1,1,2,handler,X,,X,X,X,X,X,,5'5",147lbs,53,2001,0,Yes,Paulina.Ri578@gmail.com,555-502-1027,
,118,M,Joella,Aschim,Joella Aschim,,,,3,4,0,7,I don't know,,,,X,X,,,,5'4",171lbs,54,2005,2,Yes,Joella.Aschim953@gmail.com,555-633-3504,
,119,F,Vivi,Lindell,Vivi Lindell,53,,,3,0,1,4,I don't know,X,X,X,X,X,,,X,6'10",202lbs,50,2006,3,No,Vivi.Lindell513@gmail.com,555-227-9932,
,120,F,Katharyn,Hedve,Katharyn Hedve,,,,2,1,1,4,cutter,,,,X,X,,,,6'3",204lbs,22,2007,4,No,Katharyn.Hedve824@gmail.com,555-194-5193,
,121,M,Conchita,Jedidiah,Conchita Jedidiah,38,,,3,3,3,9,cutter,X,X,,X,,X,,X,5'3",144lbs,52,2010,2,No,Conchita.Jedidiah142@gmail.com,555-867-3789,
,122,F,Steffi,Patsis,Steffi Patsis,,,,0,2,0,2,cutter,X,X,,X,X,,,X,5'8",122lbs,22,2008,4,No,Steffi.Patsis610@gmail.com,555-478-2769,
,123,F,Hedvige,Helbon,Hedvige Helbon,112,,,4,1,4,9,handler,X,X,X,,,,,X,5'1",119lbs,22,2004,4,No,Hedvige.Helbon338@gmail.com,555-729-4845,
,124,M,Elora,Giacinta,Elora Giacinta,,,,2,1,0,3,cutter,,X,,X,X,,,,5'2",144lbs,34,2012,0,No,Elora.Giacinta241@gmail.com,555-894-6601,
,125,F,Joanna,Shivers,Joanna Shivers,,,,0,1,3,4,cutter,,X,,,,X,X,,5'4",186lbs,56,2003,4,Yes,Joanna.Shivers205@gmail.com,555-160-7479,
,126,M,Meg,Helsa,Meg Helsa,59,,,1,1,2,4,I don't know,,,,,,X,,X,6'9",154lbs,57,2002,4,Yes,Meg.Helsa492@gmail.com,555-981-7039,
,127,M,Elizabeth,Mannes,Elizabeth Mannes,,,,0,0,4,4,cutter,X,X,,X,X,X,,,5'5",195lbs,34,2014,3,Yes,Elizabeth.Mannes522@gmail.com,555-662-3367,
,128,M,Denyse,Brande,Denyse Brande,,,,1,3,3,7,cutter,,,,,,,X,X,5'0",120lbs,28,2007,0,No,Denyse.Brande866@gmail.com,555-821-306,
,129,M,Jolee,Charmian,Jolee Charmian,,,,0,3,0,3,I don't know,X,X,X,,X,,,X,6'8",181lbs,24,2014,0,Yes,Jolee.Charmian789@gmail.com,555-684-4140,
,130,F,Daisie,Bacchus,Daisie Bacchus,2,,,0,2,2,4,cutter,,X,X,X,,X,X,,5'8",169lbs,48,2005,2,Yes,Daisie.Bacchus900@gmail.com,555-919-7940,
,131,M,Brunhilda,Caines,Brunhilda Caines,34,,,2,4,2,8,I don't know,X,,X,,,,X,X,6'4",137lbs,29,2003,4,Yes,Brunhilda.Caines661@gmail.com,555-314-3166,
,132,M,Marie,Vittoria,Marie Vittoria,54,,,4,0,3,7,I don't know,,,,,X,X,,X,5'1",149lbs,24,2001,3,No,Marie.Vittoria190@gmail.com,555-731-551,
,133,F,Ronnie,Pricilla,Ronnie Pricilla,,,,3,4,4,11,I don't know,,X,X,X,X,,,,5'8",209lbs,47,2004,1,Yes,Ronnie.Pricilla506@gmail.com,555-441-964,
,134,M,Bea,Colin,Bea Colin,145,,,2,1,0,3,handler,X,X,X,,,X,,,6'5",118lbs,38,2009,0,No,Bea.Colin156@gmail.com,555-996-7777,
,135,F,Wilhelmine,Urian,Wilhelmine Urian,63,,,1,0,4,5,cutter,X,X,X,X,X,,,,6'6",189lbs,50,2007,1,No,Wilhelmine.Urian501@gmail.com,555-976-5227,
,136,M,Lesya,Platto,Lesya Platto,49,,,0,2,3,5,I don't know,,,,X,,X,,,6'10",123lbs,45,2009,2,Yes,Lesya.Platto64@gmail.com,555-634-3117,
,137,F,Friederike,Lianne,Friederike Lianne,,,,4,4,3,11,handler,,X,X,,X,X,X,,5'5",202lbs,54,2015,0,No,Friederike.Lianne650@gmail.com,555-242-2283,
,138,M,Cassandry,Beetner,Cassandry Beetner,18,,,2,2,1,5,handler,,,,X,X,X,X,X,5'8",178lbs,22,2011,2,No,Cassandry.Beetner185@gmail.com,555-886-7737,
,139,F,Antonie,Adabel,Antonie Adabel,,,,3,4,3,10,I don't know,X,X,X,X,,X,X,,6'1",142lbs,45,2009,4,No,Antonie.Adabel120@gmail.com,555-220-3375,
,140,M,Kizzee,Amaris,Kizzee Amaris,25,,,2,4,4,10,I don't know,,X,X,,X,X,,X,5'7",156lbs,47,2004,0,Yes,Kizzee.Amaris405@gmail.com,555-871-8207,
,141,M,Venus,Raffo,Venus Raffo,83,,,1,4,1,6,handler,X,X,,X,X,,X,X,5'4",179lbs,34,2011,0,No,Venus.Raffo569@gmail.com,555-776-7996,
,142,F,Anallise,Sawtelle,Anallise Sawtelle,44,,,1,0,1,2,handler,X,X,X,,,X,,X,5'4",212lbs,18,2007,3,No,Anallise.Sawtelle807@gmail.com,555-291-3652,
